Student_ID,Machine_learning,Data_mining,Cyber_security,Software_engineering,Research_methodology,Blockchain,Total_Score,Percentage,Class
RP10651,59,51,51,53,51,50,315,52.5,Lower Class
RP02042,7,13,39,2,9,12,82,13.666666666666666,Fail
RP08669,50,56,54,51,57,59,327,54.50000000000001,Lower Class
RP01115,14,6,7,4,27,20,78,13.0,Fail
RP13903,68,62,63,69,69,61,392,65.33333333333333,Second Class
RP11964,55,52,53,58,58,57,333,55.50000000000001,Lower Class
RP11073,55,52,56,55,51,56,325,54.166666666666664,Lower Class
RP03003,32,4,34,21,34,27,152,25.333333333333336,Fail
RP19772,91,87,81,90,84,95,528,88.0,First Class
RP08116,56,54,53,56,57,58,334,55.666666666666664,Lower Class
RP03526,22,27,16,30,15,16,126,21.0,Fail
RP07880,44,47,49,45,40,48,273,45.5,Pass Class
RP16442,80,98,82,97,70,83,510,85.0,First Class
RP16297,83,86,88,85,87,84,513,85.5,First Class
RP12567,60,66,60,60,63,67,376,62.66666666666667,Second Class
RP05253,45,42,45,40,42,47,261,43.5,Pass Class
RP19394,74,89,92,99,94,77,525,87.5,First Class
RP16797,95,90,88,90,91,77,531,88.5,First Class
RP08095,54,57,52,51,51,51,316,52.666666666666664,Lower Class
RP00323,33,38,5,6,14,22,118,19.666666666666664,Fail
RP09924,51,53,51,58,59,50,322,53.666666666666664,Lower Class
RP07460,40,48,46,44,46,46,270,45.0,Pass Class
RP19025,76,71,98,87,99,73,504,84.0,First Class
RP17554,77,87,77,96,82,97,516,86.0,First Class
RP09120,59,57,50,52,51,51,320,53.333333333333336,Lower Class
RP16422,92,79,71,91,75,100,508,84.66666666666667,First Class
RP16061,93,98,91,83,82,71,518,86.33333333333333,First Class
RP10121,50,52,50,50,59,54,315,52.5,Lower Class
RP19056,88,95,84,100,89,79,535,89.16666666666667,First Class
RP03650,24,32,19,18,10,8,111,18.5,Fail
RP03942,15,26,2,27,28,11,109,18.166666666666668,Fail
RP17881,87,90,71,93,74,89,504,84.0,First Class
RP16676,95,70,82,78,87,100,512,85.33333333333334,First Class
RP12631,61,60,69,63,64,60,377,62.83333333333333,Second Class
RP11444,53,57,55,59,58,59,341,56.833333333333336,Lower Class
RP12158,65,61,60,61,68,69,384,64.0,Second Class
RP13836,61,65,68,66,67,61,388,64.66666666666666,Second Class
RP03435,16,24,36,21,14,34,145,24.166666666666668,Fail
RP18740,91,99,72,75,90,71,498,83.0,First Class
RP17408,91,76,91,88,97,89,532,88.66666666666667,First Class
RP15441,65,64,60,64,67,65,385,64.16666666666667,Second Class
RP10407,58,58,57,59,53,54,339,56.49999999999999,Lower Class
RP06518,41,40,42,45,45,41,254,42.333333333333336,Pass Class
RP00972,6,26,4,18,13,6,73,12.166666666666668,Fail
RP16488,80,76,97,90,94,97,534,89.0,First Class
RP19731,81,95,98,75,89,71,509,84.83333333333334,First Class
RP13138,60,62,63,60,68,69,382,63.66666666666667,Second Class
RP03670,23,25,31,13,1,35,128,21.333333333333336,Fail
RP15984,66,63,62,67,67,66,391,65.16666666666666,Second Class
RP04059,41,49,49,43,44,44,270,45.0,Pass Class
RP14977,64,64,63,65,62,62,380,63.33333333333333,Second Class
RP15699,62,69,60,61,65,65,382,63.66666666666667,Second Class
RP13830,64,62,66,63,61,68,384,64.0,Second Class
RP13420,65,69,67,67,64,65,397,66.16666666666666,Second Class
RP00961,4,6,7,3,12,21,53,8.833333333333334,Fail
RP17745,78,100,99,93,76,100,546,91.0,First Class
RP09865,53,57,59,58,59,52,338,56.333333333333336,Lower Class
RP11264,53,57,51,52,50,55,318,53.0,Lower Class
RP15783,65,65,65,65,60,67,387,64.5,Second Class
RP17197,76,72,79,75,93,80,475,79.16666666666666,First Class
RP07555,44,48,49,44,47,40,272,45.33333333333333,Pass Class
RP10499,52,55,59,56,55,52,329,54.833333333333336,Lower Class
RP17060,94,79,84,99,81,96,533,88.83333333333333,First Class
RP17929,80,75,83,75,85,74,472,78.66666666666666,First Class
RP07086,41,41,46,40,44,49,261,43.5,Pass Class
RP14754,62,61,61,61,60,66,371,61.83333333333333,Second Class
RP04520,41,49,46,48,42,47,273,45.5,Pass Class
RP03025,27,26,5,27,7,29,121,20.166666666666664,Fail
RP12122,66,68,60,68,63,63,388,64.66666666666666,Second Class
RP18495,91,83,85,79,93,99,530,88.33333333333333,First Class
RP05484,44,42,43,47,44,47,267,44.5,Pass Class
RP01420,22,18,20,38,37,11,146,24.333333333333336,Fail
RP06210,48,42,43,41,45,48,267,44.5,Pass Class
RP10743,50,57,50,56,54,51,318,53.0,Lower Class
RP16144,88,74,98,85,91,99,535,89.16666666666667,First Class
RP17618,76,79,98,75,93,94,515,85.83333333333333,First Class
RP14569,60,61,68,63,61,61,374,62.33333333333333,Second Class
RP00981,6,39,33,8,5,32,123,20.5,Fail
RP02784,0,2,28,36,16,35,117,19.5,Fail
RP07714,47,41,44,47,45,45,269,44.83333333333333,Pass Class
RP11519,59,54,57,50,52,58,330,55.00000000000001,Lower Class
RP08601,59,59,50,56,50,58,332,55.333333333333336,Lower Class
RP11641,51,50,55,57,54,54,321,53.5,Lower Class
RP18831,95,77,84,77,91,77,501,83.5,First Class
RP12563,69,63,60,66,66,61,385,64.16666666666667,Second Class
RP12752,63,60,69,69,61,65,387,64.5,Second Class
RP06385,46,41,47,46,49,49,278,46.33333333333333,Pass Class
RP04808,47,45,46,44,42,49,273,45.5,Pass Class
RP06196,44,42,41,40,46,40,253,42.16666666666667,Pass Class
RP10649,54,54,54,54,59,55,330,55.00000000000001,Lower Class
RP07568,40,43,42,41,41,46,253,42.16666666666667,Pass Class
RP16398,95,80,79,84,88,91,517,86.16666666666667,First Class
RP17525,81,84,90,90,71,94,510,85.0,First Class
RP01347,21,15,1,32,35,17,121,20.166666666666664,Fail
RP13125,68,62,60,65,67,60,382,63.66666666666667,Second Class
RP12674,65,66,66,62,61,62,382,63.66666666666667,Second Class
RP15456,69,64,60,69,65,62,389,64.83333333333333,Second Class
RP14002,64,66,60,67,65,60,382,63.66666666666667,Second Class
RP18622,96,76,91,73,98,78,512,85.33333333333334,First Class
RP02120,16,37,4,20,33,18,128,21.333333333333336,Fail
RP15305,68,66,65,68,62,69,398,66.33333333333333,Second Class
RP04310,45,40,49,40,46,45,265,44.166666666666664,Pass Class
RP04485,41,43,42,45,43,42,256,42.66666666666667,Pass Class
RP11014,56,53,57,53,55,55,329,54.833333333333336,Lower Class
RP04771,46,40,46,41,42,48,263,43.833333333333336,Pass Class
RP02713,12,22,3,1,17,30,85,14.166666666666666,Fail
RP12187,63,61,66,68,65,63,386,64.33333333333333,Second Class
RP16616,100,81,91,92,75,96,535,89.16666666666667,First Class
RP10948,52,57,53,57,59,54,332,55.333333333333336,Lower Class
RP02546,28,0,27,19,31,37,142,23.666666666666668,Fail
RP12620,65,60,65,69,68,61,388,64.66666666666666,Second Class
RP09852,54,56,52,58,53,53,326,54.333333333333336,Lower Class
RP04411,47,44,47,45,47,46,276,46.0,Pass Class
RP19648,95,93,74,97,88,84,531,88.5,First Class
RP12345,68,64,69,64,68,65,398,66.33333333333333,Second Class
RP12408,69,63,66,66,65,65,394,65.66666666666666,Second Class
RP09611,56,59,52,58,50,50,325,54.166666666666664,Lower Class
RP10719,51,56,56,56,52,50,321,53.5,Lower Class
RP07572,44,43,46,46,45,45,269,44.83333333333333,Pass Class
RP03571,7,33,34,17,18,19,128,21.333333333333336,Fail
RP08603,54,58,58,55,52,55,332,55.333333333333336,Lower Class
RP03560,0,30,24,3,19,17,93,15.5,Fail
RP04992,48,48,48,40,44,47,275,45.83333333333333,Pass Class
RP07440,40,46,48,42,46,46,268,44.666666666666664,Pass Class
RP09326,57,56,56,55,56,56,336,56.00000000000001,Lower Class
RP02301,16,14,31,21,28,27,137,22.833333333333332,Fail
RP07667,45,44,40,47,49,48,273,45.5,Pass Class
RP05805,45,40,46,42,45,46,264,44.0,Pass Class
RP12023,66,64,63,60,69,69,391,65.16666666666666,Second Class
RP15538,61,68,64,69,64,67,393,65.5,Second Class
RP09758,53,59,55,50,58,59,334,55.666666666666664,Lower Class
RP12015,62,69,61,61,62,68,383,63.83333333333333,Second Class
RP05212,44,48,47,47,47,49,282,47.0,Pass Class
RP11549,54,59,53,58,57,54,335,55.833333333333336,Lower Class
RP12367,60,65,62,64,63,68,382,63.66666666666667,Second Class
RP09271,56,56,54,52,59,55,332,55.333333333333336,Lower Class
RP03976,39,13,31,15,18,29,145,24.166666666666668,Fail
RP16091,72,91,77,85,73,83,481,80.16666666666666,First Class
RP17233,74,95,79,73,73,75,469,78.16666666666666,First Class
RP17444,95,93,72,78,78,80,496,82.66666666666667,First Class
RP13657,62,69,65,63,61,64,384,64.0,Second Class
RP15646,66,67,68,69,63,60,393,65.5,Second Class
RP02731,7,26,39,34,1,4,111,18.5,Fail
RP03299,13,21,37,33,21,26,151,25.166666666666664,Fail
RP08957,55,54,52,56,53,51,321,53.5,Lower Class
RP17411,81,77,79,99,86,79,501,83.5,First Class
RP15156,68,68,63,69,61,65,394,65.66666666666666,Second Class
RP17277,85,80,76,84,73,96,494,82.33333333333334,First Class
RP06704,48,40,48,49,49,43,277,46.166666666666664,Pass Class
RP01969,32,18,10,35,22,25,142,23.666666666666668,Fail
RP04937,47,45,43,40,48,49,272,45.33333333333333,Pass Class
RP02113,10,17,22,13,18,6,86,14.333333333333334,Fail
RP00879,27,20,7,17,9,18,98,16.333333333333332,Fail
RP19076,94,82,98,90,75,74,513,85.5,First Class
RP12990,67,66,65,63,69,66,396,66.0,Second Class
RP07278,40,49,46,46,42,42,265,44.166666666666664,Pass Class
RP05710,49,47,44,43,45,40,268,44.666666666666664,Pass Class
RP12079,60,63,63,61,60,63,370,61.66666666666667,Second Class
RP06688,41,40,47,40,48,40,256,42.66666666666667,Pass Class
RP06419,45,42,48,40,45,43,263,43.833333333333336,Pass Class
RP10432,57,53,55,56,55,50,326,54.333333333333336,Lower Class
RP09983,52,58,55,50,56,50,321,53.5,Lower Class
RP19074,89,93,78,83,88,90,521,86.83333333333333,First Class
RP04630,45,48,43,46,49,41,272,45.33333333333333,Pass Class
RP08863,58,55,59,51,52,51,326,54.333333333333336,Lower Class
RP04668,49,47,43,46,49,42,276,46.0,Pass Class
RP14164,65,62,68,67,68,61,391,65.16666666666666,Second Class
RP00386,11,2,20,2,9,0,44,7.333333333333333,Fail
RP04187,46,46,44,42,45,42,265,44.166666666666664,Pass Class
RP05346,45,48,46,42,42,43,266,44.333333333333336,Pass Class
RP02196,29,10,22,0,1,38,100,16.666666666666664,Fail
RP14991,62,60,68,61,68,64,383,63.83333333333333,Second Class
RP12635,62,64,65,67,60,62,380,63.33333333333333,Second Class
RP01078,9,4,5,20,14,3,55,9.166666666666666,Fail
RP06287,48,42,45,48,42,47,272,45.33333333333333,Pass Class
RP05934,41,47,43,45,45,48,269,44.83333333333333,Pass Class
RP18513,75,80,86,81,98,96,516,86.0,First Class
RP19718,94,95,89,84,95,93,550,91.66666666666666,First Class
RP13364,67,63,63,61,62,62,378,63.0,Second Class
RP08073,56,53,53,55,58,50,325,54.166666666666664,Lower Class
RP17021,76,77,99,93,81,72,498,83.0,First Class
RP09544,53,56,58,52,52,56,327,54.50000000000001,Lower Class
RP19095,90,96,78,96,96,93,549,91.5,First Class
RP13356,64,63,64,64,69,61,385,64.16666666666667,Second Class
RP18632,94,87,77,78,75,100,511,85.16666666666667,First Class
RP02849,33,13,21,20,34,29,150,25.0,Fail
RP12792,63,64,63,62,64,67,383,63.83333333333333,Second Class
RP07723,40,43,43,46,47,40,259,43.166666666666664,Pass Class
RP00813,2,23,7,26,16,17,91,15.166666666666668,Fail
RP11194,51,51,58,56,59,52,327,54.50000000000001,Lower Class
RP05136,47,48,45,42,47,41,270,45.0,Pass Class
RP08511,50,52,55,50,52,50,309,51.5,Lower Class
RP07435,45,41,43,44,46,47,266,44.333333333333336,Pass Class
RP16477,90,90,76,80,72,88,496,82.66666666666667,First Class
RP00937,31,7,36,6,0,1,81,13.5,Fail
RP11966,57,51,59,50,50,58,325,54.166666666666664,Lower Class
RP01693,15,19,18,5,4,13,74,12.333333333333334,Fail
RP06217,43,41,40,41,40,46,251,41.833333333333336,Pass Class
RP09460,54,52,54,53,50,54,317,52.83333333333333,Lower Class
RP12528,69,64,69,69,63,60,394,65.66666666666666,Second Class
RP15485,62,67,65,64,62,62,382,63.66666666666667,Second Class
RP05793,48,49,41,47,47,47,279,46.5,Pass Class
RP12267,67,62,61,69,61,69,389,64.83333333333333,Second Class
RP02222,33,33,37,10,28,28,169,28.166666666666668,Fail
RP15758,65,69,69,65,60,69,397,66.16666666666666,Second Class
RP04694,43,45,45,44,42,41,260,43.333333333333336,Pass Class
RP10109,50,51,59,52,57,57,326,54.333333333333336,Lower Class
RP05108,42,46,44,43,43,40,258,43.0,Pass Class
RP13481,62,69,60,63,60,65,379,63.16666666666667,Second Class
RP04746,44,44,45,49,46,45,273,45.5,Pass Class
RP01605,34,20,15,37,26,17,149,24.833333333333332,Fail
RP17396,79,86,74,81,78,77,475,79.16666666666666,First Class
RP16864,79,86,70,75,72,70,452,75.33333333333333,First Class
RP08214,54,53,57,53,53,58,328,54.666666666666664,Lower Class
RP01093,7,19,16,21,5,12,80,13.333333333333334,Fail
RP13885,63,67,62,61,60,68,381,63.5,Second Class
RP06312,47,47,40,47,42,46,269,44.83333333333333,Pass Class
RP09013,50,57,53,53,59,52,324,54.0,Lower Class
RP00352,30,5,11,11,11,26,94,15.666666666666668,Fail
RP14783,64,66,67,68,65,69,399,66.5,Second Class
RP01531,34,9,34,19,38,29,163,27.166666666666668,Fail
RP13592,68,64,61,62,68,60,383,63.83333333333333,Second Class
RP15216,69,60,62,67,61,69,388,64.66666666666666,Second Class
RP11541,55,55,57,55,51,53,326,54.333333333333336,Lower Class
RP00219,16,34,20,13,31,34,148,24.666666666666668,Fail
RP06814,44,40,41,48,46,47,266,44.333333333333336,Pass Class
RP05358,48,44,42,44,41,43,262,43.666666666666664,Pass Class
RP15730,69,69,67,68,66,61,400,66.66666666666666,Second Class
RP13044,66,60,69,69,62,60,386,64.33333333333333,Second Class
RP01454,25,29,28,9,30,21,142,23.666666666666668,Fail
RP14933,61,65,69,67,66,62,390,65.0,Second Class
RP04741,43,44,45,43,42,48,265,44.166666666666664,Pass Class
RP02815,0,12,18,16,36,34,116,19.333333333333332,Fail
RP07887,47,44,42,45,43,49,270,45.0,Pass Class
RP04974,46,44,48,44,48,47,277,46.166666666666664,Pass Class
RP01183,16,19,38,39,6,4,122,20.333333333333332,Fail
RP10036,52,53,51,51,55,59,321,53.5,Lower Class
RP03948,10,34,37,25,25,21,152,25.333333333333336,Fail
RP03190,26,32,12,3,0,25,98,16.333333333333332,Fail
RP14481,66,60,62,64,62,61,375,62.5,Second Class
RP19827,89,78,77,92,87,88,511,85.16666666666667,First Class
RP09624,56,50,57,58,54,53,328,54.666666666666664,Lower Class
RP01007,23,13,17,9,15,15,92,15.333333333333332,Fail
RP02326,32,1,28,32,34,7,134,22.333333333333332,Fail
RP10646,54,55,56,56,59,57,337,56.166666666666664,Lower Class
RP19524,77,77,71,70,92,97,484,80.66666666666666,First Class
RP17726,100,92,78,87,80,76,513,85.5,First Class
RP05744,43,47,43,41,43,48,265,44.166666666666664,Pass Class
RP12681,65,68,62,60,63,61,379,63.16666666666667,Second Class
RP14584,67,63,68,64,60,62,384,64.0,Second Class
RP19258,96,75,71,88,74,95,499,83.16666666666667,First Class
RP11882,54,52,56,56,54,54,326,54.333333333333336,Lower Class
RP01028,8,4,9,26,12,31,90,15.0,Fail
RP04070,40,43,44,43,43,41,254,42.333333333333336,Pass Class
RP18573,83,95,91,81,76,73,499,83.16666666666667,First Class
RP14653,64,61,64,66,64,64,383,63.83333333333333,Second Class
RP06651,49,48,42,45,41,44,269,44.83333333333333,Pass Class
RP15784,61,65,65,60,62,62,375,62.5,Second Class
RP17649,85,86,77,78,87,71,484,80.66666666666666,First Class
RP04623,43,46,43,48,46,41,267,44.5,Pass Class
RP10386,59,50,53,53,50,54,319,53.166666666666664,Lower Class
RP13671,67,69,68,61,61,68,394,65.66666666666666,Second Class
RP14047,66,68,68,62,60,65,389,64.83333333333333,Second Class
RP01963,15,10,19,6,29,33,112,18.666666666666668,Fail
RP19875,95,76,81,83,85,92,512,85.33333333333334,First Class
RP01600,17,19,27,33,22,30,148,24.666666666666668,Fail
RP09676,56,54,59,58,50,53,330,55.00000000000001,Lower Class
RP10953,57,57,59,58,51,50,332,55.333333333333336,Lower Class
RP04334,46,45,42,43,40,47,263,43.833333333333336,Pass Class
RP12100,61,64,62,62,69,66,384,64.0,Second Class
RP06956,46,42,49,42,46,40,265,44.166666666666664,Pass Class
RP18822,87,80,70,97,91,85,510,85.0,First Class
RP08546,52,58,51,55,54,54,324,54.0,Lower Class
RP15975,66,61,63,64,64,63,381,63.5,Second Class
RP13723,65,67,68,66,65,66,397,66.16666666666666,Second Class
RP00696,14,10,20,14,16,13,87,14.499999999999998,Fail
RP15631,64,63,60,60,64,68,379,63.16666666666667,Second Class
RP13590,63,63,60,69,65,61,381,63.5,Second Class
RP14522,62,69,63,63,60,67,384,64.0,Second Class
RP19918,87,89,92,93,83,90,534,89.0,First Class
RP09771,58,58,54,50,54,53,327,54.50000000000001,Lower Class
RP13378,60,68,61,67,69,68,393,65.5,Second Class
RP01035,2,38,28,30,11,25,134,22.333333333333332,Fail
RP10843,55,50,52,52,52,50,311,51.83333333333333,Lower Class
RP16593,74,97,97,94,97,92,551,91.83333333333333,First Class
RP10422,54,52,56,54,52,57,325,54.166666666666664,Lower Class
RP10980,59,54,51,56,58,57,335,55.833333333333336,Lower Class
RP02128,5,34,14,26,17,30,126,21.0,Fail
RP12188,68,63,60,66,67,62,386,64.33333333333333,Second Class
RP05971,43,47,41,47,47,42,267,44.5,Pass Class
RP13226,68,63,67,64,67,69,398,66.33333333333333,Second Class
RP00994,24,35,6,24,33,11,133,22.166666666666668,Fail
RP15085,65,64,67,64,66,69,395,65.83333333333333,Second Class
RP14846,61,61,69,66,66,64,387,64.5,Second Class
RP14946,68,64,65,60,64,67,388,64.66666666666666,Second Class
RP00448,15,32,20,19,9,22,117,19.5,Fail
RP17278,93,100,78,88,95,82,536,89.33333333333333,First Class
RP05454,49,49,45,42,49,43,277,46.166666666666664,Pass Class
RP03212,29,12,13,25,12,0,91,15.166666666666668,Fail
RP05562,46,46,40,44,48,47,271,45.166666666666664,Pass Class
RP18912,99,97,82,91,73,74,516,86.0,First Class
RP03211,39,31,29,38,27,9,173,28.833333333333332,Fail
RP13814,63,68,60,61,64,68,384,64.0,Second Class
RP08967,58,57,53,58,54,54,334,55.666666666666664,Lower Class
RP17654,90,75,99,75,95,84,518,86.33333333333333,First Class
RP10650,58,54,54,56,52,59,333,55.50000000000001,Lower Class
RP19715,99,90,98,81,70,83,521,86.83333333333333,First Class
RP03972,7,10,14,39,29,32,131,21.833333333333332,Fail
RP10808,53,53,54,57,54,55,326,54.333333333333336,Lower Class
RP19545,91,72,88,99,89,100,539,89.83333333333333,First Class
RP11367,56,50,59,53,59,52,329,54.833333333333336,Lower Class
RP03779,6,4,22,1,4,9,46,7.666666666666666,Fail
RP13080,64,64,62,61,69,69,389,64.83333333333333,Second Class
RP06353,46,45,40,43,47,43,264,44.0,Pass Class
RP04008,43,44,46,43,47,40,263,43.833333333333336,Pass Class
RP03777,16,33,36,38,36,24,183,30.5,Fail
RP17148,92,98,94,82,94,88,548,91.33333333333333,First Class
RP14105,62,66,61,68,65,69,391,65.16666666666666,Second Class
RP19146,91,72,88,81,75,84,491,81.83333333333334,First Class
RP19184,81,73,75,87,79,79,474,79.0,First Class
RP08427,56,59,53,57,50,55,330,55.00000000000001,Lower Class
RP04338,49,46,48,49,43,42,277,46.166666666666664,Pass Class
RP08118,50,54,50,56,57,55,322,53.666666666666664,Lower Class
RP07764,45,40,48,43,44,46,266,44.333333333333336,Pass Class
RP14013,63,69,63,68,66,60,389,64.83333333333333,Second Class
