Student_ID,Machine_learning,Data_mining,Cyber_security,Software_engineering,Research_methodology,Blockchain,Total_Score,Percentage,Class,Machine_learning_scaled,Data_mining_scaled,Cyber_security_scaled,Software_engineering_scaled,Research_methodology_scaled,Blockchain_scaled,Data_mining_decimal_scaled,Percentage_Bin
RP10651,59.0,51.0,51.0,53,51,50,315.0,52.5,Lower Class,0.59,0.51,0.51,0.53,0.51,0.5,0.051,Lower Class
RP02042,7.0,13.0,39.0,2,9,12,82.0,13.67,Fail,0.07,0.13,0.39,0.02,0.09,0.12,0.013,Fail
RP08669,50.0,56.0,54.0,51,57,59,327.0,54.5,Lower Class,0.5,0.56,0.54,0.51,0.5700000000000001,0.59,0.056,Lower Class
RP01115,14.0,6.0,7.0,4,27,20,78.0,13.0,Fail,0.14,0.06,0.07,0.04,0.27,0.2,0.006,Fail
RP13903,68.0,62.0,63.0,69,69,61,392.0,65.33,Second Class,0.68,0.62,0.63,0.6900000000000001,0.6900000000000001,0.61,0.062,Second Class
RP11964,55.0,52.0,53.0,58,58,57,333.0,55.5,Lower Class,0.55,0.52,0.53,0.58,0.58,0.5700000000000001,0.052,Lower Class
RP11073,55.0,52.0,56.0,55,51,56,325.0,54.17,Lower Class,0.55,0.52,0.56,0.55,0.51,0.56,0.052,Lower Class
RP03003,32.0,4.0,34.0,21,34,27,152.0,25.33,Fail,0.32,0.04,0.34,0.21,0.34,0.27,0.004,Fail
RP19772,91.0,87.0,81.0,90,84,95,528.0,88.0,First Class,0.91,0.87,0.81,0.9,0.84,0.9500000000000001,0.087,First Class
RP08116,56.0,54.0,53.0,56,57,58,334.0,55.67,Lower Class,0.56,0.54,0.53,0.56,0.5700000000000001,0.58,0.054,Lower Class
RP03526,22.0,27.0,16.0,30,15,16,126.0,21.0,Fail,0.22,0.27,0.16,0.3,0.15,0.16,0.027,Fail
RP07880,44.0,47.0,49.0,45,40,48,273.0,45.5,Pass Class,0.44,0.47000000000000003,0.49,0.45,0.4,0.48,0.047,Pass Class
RP16442,80.0,98.0,82.0,97,70,83,510.0,85.0,First Class,0.8,0.98,0.8200000000000001,0.97,0.7000000000000001,0.8300000000000001,0.098,First Class
RP16297,83.0,86.0,88.0,85,87,84,513.0,85.5,First Class,0.8300000000000001,0.86,0.88,0.85,0.87,0.84,0.086,First Class
RP12567,60.0,66.0,60.0,60,63,67,376.0,62.67,Second Class,0.6,0.66,0.6,0.6,0.63,0.67,0.066,Second Class
RP05253,44.74156765179343,42.0,45.0,40,42,47,260.74,43.46,Pass Class,0.44741567651793435,0.42,0.45,0.4,0.42,0.47000000000000003,0.042,Pass Class
RP19394,74.0,89.0,92.0,99,94,77,525.0,87.5,First Class,0.74,0.89,0.92,0.99,0.9400000000000001,0.77,0.089,First Class
RP16797,95.0,90.0,88.0,90,91,77,531.0,88.5,First Class,0.9500000000000001,0.9,0.88,0.9,0.91,0.77,0.09,First Class
RP08095,54.0,57.0,52.0,51,51,51,316.0,52.67,Lower Class,0.54,0.5700000000000001,0.52,0.51,0.51,0.51,0.057,Lower Class
RP00323,33.0,38.0,5.0,6,14,22,118.0,19.67,Fail,0.33,0.38,0.05,0.06,0.14,0.22,0.038,Fail
RP09924,51.0,53.0,51.0,58,59,50,322.0,53.67,Lower Class,0.51,0.53,0.51,0.58,0.59,0.5,0.053,Lower Class
RP07460,40.0,48.0,46.0,44,46,46,270.0,45.0,Pass Class,0.4,0.48,0.46,0.44,0.46,0.46,0.048,Pass Class
RP19025,76.0,71.0,98.0,87,99,73,504.0,84.0,First Class,0.76,0.71,0.98,0.87,0.99,0.73,0.071,First Class
RP17554,77.0,87.0,77.0,96,82,97,516.0,86.0,First Class,0.77,0.87,0.77,0.96,0.8200000000000001,0.97,0.087,First Class
RP09120,59.0,57.0,50.0,52,51,51,320.0,53.33,Lower Class,0.59,0.5700000000000001,0.5,0.52,0.51,0.51,0.057,Lower Class
RP16422,92.0,79.0,71.0,91,75,100,508.0,84.67,First Class,0.92,0.79,0.71,0.91,0.75,1.0,0.079,First Class
RP16061,93.0,98.0,91.0,83,82,71,518.0,86.33,First Class,0.93,0.98,0.91,0.8300000000000001,0.8200000000000001,0.71,0.098,First Class
RP10121,50.0,52.0,50.0,50,59,54,315.0,52.5,Lower Class,0.5,0.52,0.5,0.5,0.59,0.54,0.052,Lower Class
RP19056,88.0,95.0,54.0,100,89,79,505.0,84.17,First Class,0.88,0.9500000000000001,0.54,1.0,0.89,0.79,0.095,First Class
RP03650,24.0,32.0,19.0,18,10,8,111.0,18.5,Fail,0.24,0.32,0.19,0.18,0.1,0.08,0.032,Fail
RP03942,15.0,26.0,2.0,27,28,11,109.0,18.17,Fail,0.15,0.26,0.02,0.27,0.28,0.11,0.026,Fail
RP17881,87.0,90.0,71.0,93,74,89,504.0,84.0,First Class,0.87,0.9,0.71,0.93,0.74,0.89,0.09,First Class
RP16676,95.0,70.0,82.0,78,87,100,512.0,85.33,First Class,0.9500000000000001,0.7000000000000001,0.8200000000000001,0.78,0.87,1.0,0.07,First Class
RP12631,61.0,60.0,69.0,63,64,60,377.0,62.83,Second Class,0.61,0.6,0.6900000000000001,0.63,0.64,0.6,0.06,Second Class
RP11444,53.0,57.0,55.0,59,58,59,341.0,56.83,Lower Class,0.53,0.5700000000000001,0.55,0.59,0.58,0.59,0.057,Lower Class
RP12158,65.0,61.0,60.0,61,68,69,384.0,64.0,Second Class,0.65,0.61,0.6,0.61,0.68,0.6900000000000001,0.061,Second Class
RP13836,61.0,65.0,68.0,66,67,61,388.0,64.67,Second Class,0.61,0.65,0.68,0.66,0.67,0.61,0.065,Second Class
RP03435,16.21239907538203,24.0,36.0,21,14,34,145.21,24.2,Fail,0.1621239907538203,0.24,0.36,0.21,0.14,0.34,0.024,Fail
RP18740,91.0,99.0,72.0,75,90,71,498.0,83.0,First Class,0.91,0.99,0.72,0.75,0.9,0.71,0.099,First Class
RP17408,91.0,76.0,91.0,88,97,89,532.0,88.67,First Class,0.91,0.76,0.91,0.88,0.97,0.89,0.076,First Class
RP15441,65.0,64.0,60.0,64,67,65,385.0,64.17,Second Class,0.65,0.64,0.6,0.64,0.67,0.65,0.064,Second Class
RP10407,58.0,58.0,57.0,59,53,54,339.0,56.5,Lower Class,0.58,0.58,0.5700000000000001,0.59,0.53,0.54,0.058,Lower Class
RP06518,41.0,40.0,42.0,45,45,41,254.0,42.33,Pass Class,0.41000000000000003,0.4,0.42,0.45,0.45,0.41000000000000003,0.04,Pass Class
RP00972,6.0,26.0,4.0,18,13,6,73.0,12.17,Fail,0.06,0.26,0.04,0.18,0.13,0.06,0.026,Fail
RP16488,80.0,76.0,97.0,90,94,97,534.0,89.0,First Class,0.8,0.76,0.97,0.9,0.9400000000000001,0.97,0.076,First Class
RP19731,81.0,95.0,98.0,75,89,71,509.0,84.83,First Class,0.81,0.9500000000000001,0.98,0.75,0.89,0.71,0.095,First Class
RP13138,60.0,62.0,63.0,60,68,69,382.0,63.67,Second Class,0.6,0.62,0.63,0.6,0.68,0.6900000000000001,0.062,Second Class
RP03670,23.0,25.0,31.0,13,1,35,128.0,21.33,Fail,0.23,0.25,0.31,0.13,0.01,0.35000000000000003,0.025,Fail
RP15984,66.0,63.0,62.0,67,67,66,391.0,65.17,Second Class,0.66,0.63,0.62,0.67,0.67,0.66,0.063,Second Class
RP04059,41.0,49.0,49.0,43,44,44,270.0,45.0,Pass Class,0.41000000000000003,0.49,0.49,0.43,0.44,0.44,0.049,Pass Class
RP14977,64.0,64.0,63.0,65,62,62,380.0,63.33,Second Class,0.64,0.64,0.63,0.65,0.62,0.62,0.064,Second Class
RP15699,62.0,69.0,60.0,61,65,65,382.0,63.67,Second Class,0.62,0.6900000000000001,0.6,0.61,0.65,0.65,0.069,Second Class
RP13830,64.0,62.0,66.0,63,61,68,384.0,64.0,Second Class,0.64,0.62,0.66,0.63,0.61,0.68,0.062,Second Class
RP13420,65.0,69.0,67.0,67,64,65,397.0,66.17,Second Class,0.65,0.6900000000000001,0.67,0.67,0.64,0.65,0.069,Second Class
RP00961,4.0,6.0,7.0,3,12,21,53.0,8.83,Fail,0.04,0.06,0.07,0.03,0.12,0.21,0.006,Fail
RP17745,78.0,100.0,99.0,93,76,100,546.0,91.0,First Class,0.78,1.0,0.99,0.93,0.76,1.0,0.1,First Class
RP09865,53.0,57.0,59.0,58,59,52,338.0,56.33,Lower Class,0.53,0.5700000000000001,0.59,0.58,0.59,0.52,0.057,Lower Class
RP11264,53.0,57.0,51.0,52,50,55,318.0,53.0,Lower Class,0.53,0.5700000000000001,0.51,0.52,0.5,0.55,0.057,Lower Class
RP15783,65.0,65.0,65.0,65,60,67,387.0,64.5,Second Class,0.65,0.65,0.65,0.65,0.6,0.67,0.065,Second Class
RP17197,76.0,72.0,79.0,75,93,80,475.0,79.17,First Class,0.76,0.72,0.79,0.75,0.93,0.8,0.072,First Class
RP07555,44.0,48.0,49.0,44,47,40,272.0,45.33,Pass Class,0.44,0.48,0.49,0.44,0.47000000000000003,0.4,0.048,Pass Class
